Wilayah,Tanggal,Suhu_Rata2_C,Curah_Hujan_mm,Radiasi_Matahari_MJm2,Kecepatan_Angin_Max_kmh
Padang,2020-06-03,26.3,38.4,17.05,7.9
Padang,2020-06-04,25.6,19.8,11.49,7.0
Padang,2020-06-05,25.3,42.8,6.9,5.4
Padang,2020-06-06,25.9,0.8,11.66,5.4
Padang,2020-06-07,26.2,0.0,19.13,6.4
Padang,2020-06-08,26.5,0.0,22.39,7.9
Padang,2020-06-09,26.8,0.0,22.06,9.5
Padang,2020-06-10,27.0,0.0,21.63,8.2
Padang,2020-06-11,27.0,7.7,18.57,9.6
Padang,2020-06-12,25.6,51.7,12.56,9.0
Padang,2020-06-13,26.6,0.9,10.6,8.2
Padang,2020-06-14,27.2,0.1,20.22,9.2
Padang,2020-06-15,27.2,0.5,19.48,7.0
Padang,2020-06-16,26.2,23.0,15.81,9.8
Padang,2020-06-17,26.3,6.3,13.54,7.0
Padang,2020-06-18,25.8,40.5,13.54,8.4
Padang,2020-06-19,25.7,6.9,9.05,6.0
Padang,2020-06-20,25.8,9.3,14.02,6.2
Padang,2020-06-21,25.9,9.7,16.12,10.4
Padang,2020-06-22,25.9,10.0,9.8,7.9
Padang,2020-06-23,26.3,5.3,8.7,4.9
Padang,2020-06-24,26.2,1.7,7.28,10.4
Padang,2020-06-25,26.9,0.0,19.85,10.8
Padang,2020-06-26,26.6,0.0,22.17,7.8
Padang,2020-06-27,27.2,0.0,19.97,10.7
Padang,2020-06-28,27.0,0.0,21.66,9.5
Padang,2020-06-29,26.6,1.0,18.93,7.6
Padang,2020-06-30,26.2,10.4,16.7,12.1
Padang,2020-07-01,26.5,7.8,19.7,10.1
Padang,2020-07-02,26.8,1.1,19.22,9.7
Padang,2020-07-03,26.9,2.2,19.52,9.1
Padang,2020-07-04,27.2,4.4,18.83,12.2
Padang,2020-07-05,27.0,4.6,18.16,8.8
Padang,2020-07-06,26.5,19.5,17.79,10.0
Padang,2020-07-07,25.7,18.6,15.01,8.1
Padang,2020-07-08,24.9,56.0,9.84,9.0
Padang,2020-07-09,25.5,4.7,10.87,6.2
Padang,2020-07-10,26.2,2.0,11.24,9.7
Padang,2020-07-11,25.5,13.5,14.89,8.2
Padang,2020-07-12,25.5,6.5,15.85,9.8
Padang,2020-07-13,25.4,3.7,9.31,7.5
Padang,2020-07-14,26.9,3.3,16.06,7.9
Padang,2020-07-15,27.0,0.2,20.91,10.7
Padang,2020-07-16,26.0,27.6,16.43,10.0
Padang,2020-07-17,25.9,15.4,15.13,8.3
Padang,2020-07-18,25.8,12.0,14.96,7.4
Padang,2020-07-19,26.0,21.7,17.81,9.2
Padang,2020-07-20,26.4,3.0,19.16,9.1
Padang,2020-07-21,26.2,126.2,17.17,9.3
Padang,2020-07-22,25.2,56.8,13.1,8.9
Padang,2020-07-23,25.3,41.6,12.2,7.9
Padang,2020-07-24,26.4,5.2,17.41,6.9
Padang,2020-07-25,25.6,21.7,12.41,12.6
Padang,2020-07-26,25.6,12.4,17.06,7.9
Padang,2020-07-27,25.4,32.9,13.62,9.2
Padang,2020-07-28,25.6,6.6,13.77,8.2
Padang,2020-07-29,25.7,0.4,17.65,9.4
Padang,2020-07-30,26.2,1.0,17.96,6.5
Padang,2020-07-31,25.4,71.5,14.27,7.8
Padang,2020-08-01,25.9,0.3,19.79,9.3
Padang,2020-08-02,26.1,0.3,20.37,7.4
Padang,2020-08-03,26.2,0.0,20.55,8.7
Padang,2020-08-04,25.2,17.1,7.88,6.9
Padang,2020-08-05,26.2,0.1,17.2,9.0
Padang,2020-08-06,26.6,0.0,19.76,6.2
Padang,2020-08-07,26.9,0.0,23.96,8.1
Padang,2020-08-08,27.3,0.0,23.23,8.8
Padang,2020-08-09,27.4,0.0,22.54,8.5
Padang,2020-08-10,27.1,0.0,22.02,8.0
Padang,2020-08-11,26.9,0.0,14.37,9.2
Padang,2020-08-12,27.5,0.2,16.41,7.7
Padang,2020-08-13,26.4,1.3,9.32,6.4
Padang,2020-08-14,26.8,0.0,16.63,8.4
Padang,2020-08-15,26.8,0.0,18.22,9.5
Padang,2020-08-16,26.4,7.3,17.55,10.1
